location_day_id,event_date,location,district,governorate,deaths_total,injuries_total,incident_rows_combined,has_unquantified_report,component_incident_ids
LD-2026-03-27-السكسكية (Al-Suksukiyeh),2026-03-27,السكسكية (Al-Suksukiyeh),Sidon,South Lebanon,6,17,1,0,INC-0199
LD-2026-03-27-الصرفند (Al-Sarafand),2026-03-27,الصرفند (Al-Sarafand),Sidon,South Lebanon,1,17,1,0,INC-0200
LD-2026-03-27-تحويطة الغدير (Tahwitat al-Ghadir),2026-03-27,تحويطة الغدير (Tahwitat al-Ghadir),Baabda,Mount Lebanon,2,0,1,0,INC-0201
LD-2026-03-27-زوطر الشرقية (Zawtar al-Sharqiya),2026-03-27,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,2,0,1,0,INC-0202
LD-2026-03-28-Al-Awainat (between Rmeish and Debel),2026-03-28,Al-Awainat (between Rmeish and Debel),Bint Jbeil,Nabatieh,2,0,1,0,INC-0203
LD-2026-03-28-Kfartebnit (Kawthar school road),2026-03-28,Kfartebnit (Kawthar school road),Nabatieh,Nabatieh,1,0,1,0,INC-0204
LD-2026-03-28-Zawtar al-Sharqiya road,2026-03-28,Zawtar al-Sharqiya road,Nabatieh,Nabatieh,"unknown (unspecified, >=1 per NNA)",0,1,1,INC-0205
LD-2026-03-28-الحنية (Al-Haniyeh),2026-03-28,الحنية (Al-Haniyeh),Tyre,South Lebanon,7,9,1,0,INC-0206
LD-2026-03-28-العيشية (Al-Eishiyeh),2026-03-28,العيشية (Al-Eishiyeh),Jezzine,South Lebanon,2,0,1,0,INC-0207
LD-2026-03-28-جويا (Joya),2026-03-28,جويا (Joya),Tyre,South Lebanon,1,0,1,0,INC-0208
LD-2026-03-28-حداثا (Hidatha),2026-03-28,حداثا (Hidatha),Tyre,South Lebanon,1,0,1,0,INC-0209
LD-2026-03-28-دير الزهراني (Deir al-Zahrani),2026-03-28,دير الزهراني (Deir al-Zahrani),Zahrani,South Lebanon,7,8,1,0,INC-0210
LD-2026-03-28-طريق جزين (Jezzine road),2026-03-28,طريق جزين (Jezzine road),Jezzine,South Lebanon,4,0,1,0,INC-0211
LD-2026-03-28-كفرتبنيت (Kfartebnit),2026-03-28,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,1,4,1,0,INC-0212
LD-2026-03-28-معركة (Maaraka),2026-03-28,معركة (Maaraka),Tyre,South Lebanon,1,1,1,0,INC-0213
LD-2026-03-29-بنت جبيل (Bint Jbeil city),2026-03-29,بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,1,0,1,0,INC-0215
LD-2026-03-29-بنت جبيل (Bint Jbeil),2026-03-29,بنت جبيل (Bint Jbeil),Bint Jbeil,Nabatieh,2,0,1,0,INC-0214
LD-2026-03-29-جويا (Joya),2026-03-29,جويا (Joya),Tyre,South Lebanon,2,3,1,0,INC-0216
LD-2026-03-29-شقرا (Shaqra),2026-03-29,شقرا (Shaqra),Bint Jbeil,Nabatieh,5,2,1,0,INC-0217
LD-2026-03-29-عبا (Aaba),2026-03-29,عبا (Aaba),Nabatieh,Nabatieh,2,0,1,0,INC-0218
LD-2026-03-30-Al-Aamriyeh checkpoint (Qlaile-Tyre road),2026-03-30,Al-Aamriyeh checkpoint (Qlaile-Tyre road),Tyre,South Lebanon,1,5,1,0,INC-0219
"LD-2026-03-30-الرحاب (Al-Rihab, Beirut southern suburb)",2026-03-30,"الرحاب (Al-Rihab, Beirut southern suburb)",Baabda,Mount Lebanon,1,17,1,0,INC-0220
LD-2026-03-30-الشهابية (Al-Shihabiyeh),2026-03-30,الشهابية (Al-Shihabiyeh),Tyre,South Lebanon,4,0,1,0,INC-0221
LD-2026-03-30-برعشيت (Bar'ashit),2026-03-30,برعشيت (Bar'ashit),Bint Jbeil,Nabatieh,1,1,1,0,INC-0222
LD-2026-03-30-بنت جبيل (Bint Jbeil city),2026-03-30,بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,4,0,1,0,INC-0223
LD-2026-03-30-حناويه (Hanawiyeh),2026-03-30,حناويه (Hanawiyeh),Tyre,South Lebanon,"unknown (unspecified, >=1 per NNA)",0,1,1,INC-0224
LD-2026-03-31-Ain al-Mazraab road (Tibnine),2026-03-31,Ain al-Mazraab road (Tibnine),Bint Jbeil,Nabatieh,1,0,1,0,INC-0225
LD-2026-03-31-القاسمية (Qasimiyeh),2026-03-31,القاسمية (Qasimiyeh),Tyre,South Lebanon,2,3,1,0,INC-0226
LD-2026-03-31-النجارية (Najariyeh),2026-03-31,النجارية (Najariyeh),Sidon,South Lebanon,4,0,1,0,INC-0227
LD-2026-03-31-جبشيت (Jbeshit),2026-03-31,جبشيت (Jbeshit),Nabatieh,Nabatieh,2,0,1,0,INC-0228
LD-2026-03-31-خلدة (Khaldeh),2026-03-31,خلدة (Khaldeh),Chouf,Mount Lebanon,2,3,1,0,INC-0229
LD-2026-03-31-دير كيفا (Deir Kifa),2026-03-31,دير كيفا (Deir Kifa),Bint Jbeil,Nabatieh,2,0,1,0,INC-0230
LD-2026-03-31-صريفا (Srifa),2026-03-31,صريفا (Srifa),Tyre,South Lebanon,3,19,1,0,INC-0231
LD-2026-03-31-عبا (Aaba),2026-03-31,عبا (Aaba),Nabatieh,Nabatieh,1,0,1,0,INC-0232
LD-2026-03-31-كفرا (Kfarra),2026-03-31,كفرا (Kfarra),Bint Jbeil,Nabatieh,3,2,2,0,INC-0233;INC-0234
