location_day_id,event_date,location,district,governorate,deaths_total,injuries_total,incident_rows_combined,has_unquantified_report,component_incident_ids
LD-2026-03-12-معركة البص (Maaraka al-Bass junction),2026-03-12,معركة البص (Maaraka al-Bass junction),Tyre,South Lebanon,2,0,1,0,INC-0109
LD-2026-03-13-Kfartebnit-Arnoun road,2026-03-13,Kfartebnit-Arnoun road,Nabatieh,Nabatieh,1,0,1,0,INC-0110
LD-2026-03-13-الجناح (Jnah),2026-03-13,الجناح (Jnah),Beirut,Beirut,1,0,1,0,INC-0111
LD-2026-03-13-الصوانة (Al-Sawwaneh),2026-03-13,الصوانة (Al-Sawwaneh),Tyre,South Lebanon,2,5,1,0,INC-0112
LD-2026-03-13-الغازية (Ghazieh),2026-03-13,الغازية (Ghazieh),Sidon,South Lebanon,2,0,1,0,INC-0113
LD-2026-03-13-الفوار (Al-Fawwar),2026-03-13,الفوار (Al-Fawwar),Sidon,South Lebanon,8,9,1,0,INC-0114
LD-2026-03-13-النبطية (Nabatieh city),2026-03-13,النبطية (Nabatieh city),Nabatieh,Nabatieh,7,5,1,0,INC-0115
LD-2026-03-13-بر الياس (Bar Elias),2026-03-13,بر الياس (Bar Elias),Zahle,Bekaa,2,3,1,0,INC-0116
LD-2026-03-13-برج قلاويه (Burj Qalawiyeh),2026-03-13,برج قلاويه (Burj Qalawiyeh),Bint Jbeil,Nabatieh,1,0,1,0,INC-0117
LD-2026-03-13-بنت جبيل (Bint Jbeil city),2026-03-13,بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,1,0,INC-0118
LD-2026-03-13-شبعا (Shebaa),2026-03-13,شبعا (Shebaa),Hasbaya,Nabatieh,2,0,1,0,INC-0119
LD-2026-03-13-طريق الشعيتية (Al-Shaitiyeh road),2026-03-13,طريق الشعيتية (Al-Shaitiyeh road),Tyre,South Lebanon,1,0,1,0,INC-0120
LD-2026-03-13-عبا (Aaba),2026-03-13,عبا (Aaba),Nabatieh,Nabatieh,1,1,1,0,INC-0121
LD-2026-03-13-ياطر (Yatar),2026-03-13,ياطر (Yatar),Bint Jbeil,Nabatieh,1,0,1,0,INC-0122
LD-2026-03-14-القطراني (Qatrani),2026-03-14,القطراني (Qatrani),Jezzine,South Lebanon,5,6,1,0,INC-0123
LD-2026-03-14-القنطرة (Qantara),2026-03-14,القنطرة (Qantara),Marjayoun,Nabatieh,4,0,1,0,INC-0124
LD-2026-03-14-النبعة (Nabaa),2026-03-14,النبعة (Nabaa),Matn,Mount Lebanon,1,4,1,0,INC-0125
LD-2026-03-14-برج قلاويه (Burj Qalawiyeh),2026-03-14,برج قلاويه (Burj Qalawiyeh),Bint Jbeil,Nabatieh,12,0,1,0,INC-0126
LD-2026-03-14-حارة صيدا (Harit Saida),2026-03-14,حارة صيدا (Harit Saida),Sidon,South Lebanon,4,2,1,0,INC-0127
LD-2026-03-14-مجدل سلم (Majdal Selem),2026-03-14,مجدل سلم (Majdal Selem),Marjayoun,Nabatieh,1,2,1,0,INC-0128
LD-2026-03-14-ميفدون (Meifadoun),2026-03-14,ميفدون (Meifadoun),Nabatieh,Nabatieh,4,5,1,0,INC-0129
LD-2026-03-15-الشرحبيل (Sharhabil),2026-03-15,الشرحبيل (Sharhabil),Sidon,South Lebanon,1,0,1,0,INC-0130
LD-2026-03-15-طريق النبطية الفوقا (Nabatieh al-Fawqa road),2026-03-15,طريق النبطية الفوقا (Nabatieh al-Fawqa road),Nabatieh,Nabatieh,1,0,1,0,INC-0131
LD-2026-03-15-عيتيت (Aitit),2026-03-15,عيتيت (Aitit),Nabatieh,Nabatieh,3,3,1,0,INC-0132
LD-2026-03-15-مجدل سلم (Majdal Selem),2026-03-15,مجدل سلم (Majdal Selem),Marjayoun,Nabatieh,2,4,1,0,INC-0133
LD-2026-03-16-القنطرة (Qantara),2026-03-16,القنطرة (Qantara),Marjayoun,Nabatieh,4,0,1,0,INC-0134
LD-2026-03-16-كفرصير (Kfarsir),2026-03-16,كفرصير (Kfarsir),Nabatieh,Nabatieh,3,1,1,0,INC-0135
LD-2026-03-16-معركة (Maaraka junction),2026-03-16,معركة (Maaraka junction),Tyre,South Lebanon,1,16,1,0,INC-0136
LD-2026-03-16-ياطر (Yatar),2026-03-16,ياطر (Yatar),Bint Jbeil,Nabatieh,1,0,1,0,INC-0137
LD-2026-03-17-Aaba-Jbeshit area,2026-03-17,Aaba-Jbeshit area,Nabatieh,Nabatieh,1,1,1,0,INC-0138
LD-2026-03-17-Zebdine-Nabatieh road,2026-03-17,Zebdine-Nabatieh road,Nabatieh,Nabatieh,2,0,1,0,INC-0139
LD-2026-03-17-الجميجمة (Al-Jmeijmeh),2026-03-17,الجميجمة (Al-Jmeijmeh),Tyre,South Lebanon,2,0,1,0,INC-0140
LD-2026-03-17-السلطانية (Al-Sultaniyeh),2026-03-17,السلطانية (Al-Sultaniyeh),Bint Jbeil,Nabatieh,1,0,1,0,INC-0141
LD-2026-03-17-الغازية (Ghazieh),2026-03-17,الغازية (Ghazieh),Sidon,South Lebanon,3,5,1,0,INC-0142
LD-2026-03-17-بعلبك (Baalbek city),2026-03-17,بعلبك (Baalbek city),Baalbek,Baalbek-Hermel,4,7,1,0,INC-0143
LD-2026-03-17-بنت جبيل (Bint Jbeil city),2026-03-17,بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,1,0,INC-0144
LD-2026-03-17-حاروف (Haroof),2026-03-17,حاروف (Haroof),Nabatieh,Nabatieh,3,0,1,0,INC-0145
LD-2026-03-17-طريق المطار (Airport Road),2026-03-17,طريق المطار (Airport Road),Baabda,Mount Lebanon,1,9,1,0,INC-0146
LD-2026-03-17-قعقعية الجسر (Qaaqaait al-Jisr),2026-03-17,قعقعية الجسر (Qaaqaait al-Jisr),Nabatieh,Nabatieh,1,0,1,0,INC-0147
LD-2026-03-18-القليعة (Qlaya),2026-03-18,القليعة (Qlaya),Marjayoun,Nabatieh,2,0,1,0,INC-0148
LD-2026-03-18-برج قلاويه (Burj Qalawiyeh),2026-03-18,برج قلاويه (Burj Qalawiyeh),Bint Jbeil,Nabatieh,1,0,1,0,INC-0149
LD-2026-03-18-بيروت (Beirut),2026-03-18,بيروت (Beirut),Beirut,Beirut,10,27,1,0,INC-0150
LD-2026-03-18-جبشيت (Jbeshit),2026-03-18,جبشيت (Jbeshit),Nabatieh,Nabatieh,4,0,1,0,INC-0151
LD-2026-03-18-حبوش (Habbouch),2026-03-18,حبوش (Habbouch),Nabatieh,Nabatieh,3,1,1,0,INC-0152
LD-2026-03-18-خربة سلم (Khirbet Selm),2026-03-18,خربة سلم (Khirbet Selm),Bint Jbeil,Nabatieh,2,0,1,0,INC-0153
LD-2026-03-18-دير الزهراني (Deir al-Zahrani),2026-03-18,دير الزهراني (Deir al-Zahrani),Zahrani,South Lebanon,2,7,1,0,INC-0154
