title,media_name,media_url,url,publish_date,language,indexed_date,title_confirmed_relevant,is_lebanese_domain,is_wire_service
Latest developments in the Middle East war,freemalaysiatoday.com,freemalaysiatoday.com,https://www.freemalaysiatoday.com/category/world/2026/03/09/latest-developments-in-the-middle-east-war-5,2026-03-09,en,2026-03-09 13:58:15.543902+00:00,0,0,0
"26 Killed, 33 Injured In Israeli Airstrikes Across Southern And Eastern Lebanon",bernama.com,bernama.com,https://www.bernama.com/en/news.php/?id=2532021,2026-03-09,en,2026-03-09 04:27:35.655566+00:00,0,0,0
Israel strikes Palestinian camp in Sidon,naharnet.com,naharnet.com,https://naharnet.com/stories/en/318813-israel-strikes-palestinian-camp-in-sidon,2026-03-08,en,2026-03-09 03:24:09.205339+00:00,0,1,0
Israel strikes Beirut hotel as Lebanon says war toll nears 400,manilatimes.net,manilatimes.net,https://www.manilatimes.net/2026/03/09/world/americas-emea/israel-strikes-beirut-hotel-as-lebanon-says-war-toll-nears-400/2295589,2026-03-09,en,2026-03-09 02:27:50.472474+00:00,0,0,0
Lebanon death toll nears 400 as Israel strikes Beirut hotel,dailysabah.com,dailysabah.com,https://www.dailysabah.com/world/mid-east/lebanon-death-toll-nears-400-as-israel-strikes-beirut-hotel,2026-03-08,en,2026-03-08 22:20:55.504345+00:00,0,0,0
Israel strikes Beirut hotel as Lebanon says war toll nears 400,freemalaysiatoday.com,freemalaysiatoday.com,https://www.freemalaysiatoday.com/category/highlight/2026/03/09/israel-strikes-beirut-hotel-as-lebanon-says-war-toll-nears-400,2026-03-09,en,2026-03-08 21:33:06.297855+00:00,0,0,0
Israeli warplanes strike Palestinian refugee camp in southern Lebanon,aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/israeli-warplanes-strike-palestinian-refugee-camp-in-southern-lebanon/3855352,2026-03-08,en,2026-03-08 19:27:50.854728+00:00,0,0,1
Israel strikes Beirut hotel as Lebanon says war toll nears 400,yahoo.com,yahoo.com,https://sg.news.yahoo.com/israel-strikes-beirut-hotel-lebanon-154029654.html,2026-03-08,en,2026-03-08 17:29:09.896251+00:00,0,0,0
