title,media_name,media_url,url,publish_date,language,indexed_date
Ground clashes near Aitaroun as Israel strikes hotel in Raouche killing four,naharnet.com,naharnet.com,https://naharnet.com/stories/en/318808-ground-clashes-near-aitaroun-as-israel-strikes-hotel-in-raouche-killing-four,2026-03-08,en,2026-03-09 04:31:49.676089+00:00
"Day 7 of Aggression: Israeli Strikes on Beirut, South Lebanon Leave Multiple Martyrs and Wounded",almanar.com.lb,almanar.com.lb,https://english.almanar.com.lb/article/32557/,2026-03-08,en,2026-03-08 11:19:48.656552+00:00
Israeli strikes on south Lebanon kill eight: ministry,dawn.com,dawn.com,https://www.dawn.com/news/1979651/israeli-strikes-on-south-lebanon-kill-eight-ministry,2026-03-08,en,2026-03-08 02:21:18.454402+00:00
